CakeID,CakeName,Description,Price,Image,CategoryID
1,Angel Pony Cake,"Tùy Chọn Cốt Bánh:
▪️ Banana Walnut Cake
▪️ Carrot Cake
▪️ Chocolate Cake
▪️ Red Velvet Cake
🎂 Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất.
✏️ Quý khách vui lòng chú thích thêm lời nhắn để viết lên đế bánh.",750000,main.jpeg,1
2,Baby Dino Cake,"Tùy Chọn Cốt Bánh:
▪️ Banana Walnut Cake
▪️ Carrot Cake
▪️ Chocolate Cake
▪️ Red Velvet Cake
🎂 Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất.
✏️ Quý khách vui lòng chú thích thêm lời nhắn để viết lên đế bánh.",690000,main.png,1
3,Baby Shark #1,"Tùy Chọn Cốt Bánh:
▪️ Banana Walnut Cake
▪️ Carrot Cake
▪️ Chocolate Cake
▪️ Red Velvet Cake
🎂 Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất.
✏️ Quý khách vui lòng chú thích thêm lời nhắn để viết lên đế bánh.",680000,main.jpg,1
4,Baby Shark #2,"Tùy Chọn Cốt Bánh:
▪️ Banana Walnut Cake
▪️ Carrot Cake
▪️ Chocolate Cake
▪️ Red Velvet Cake
🎂 Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất.
✏️ Quý khách vui lòng chú thích thêm lời nhắn để viết lên đế bánh.",680000,main.jpg,1
5,Banana Walnuts Birthday Cake,"Thành phần: Chuối, bột mì, hạt óc chó, trứng, sữa, dầu, đường, phô mai…
✅ 3 Tầng Bánh Kem Chuối Hạt Óc Chó
✅ Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất
✏️ Quý khách vui lòng chú thích thêm lời nhắn chúc mừng để đính kèm trên lá cờ sinh nhật",590000,main.jpg,1
6,Carrot Birthday Cake," Thành phần: Cà rốt, bột mì, hạt óc chó, trứng, sữa, dầu, đường, phô mai…
✅ 3 Tầng Bánh Kem Cà Rốt
✅ Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất
✏️ Quý khách vui lòng chú thích thêm lời nhắn chúc mừng để đính kèm trên lá cờ sinh nhật",590000,main.jpeg,1
7,Cinderella,"Tùy Chọn Cốt Bánh:
▪️ Banana Walnut Cake
▪️ Carrot Cake
▪️ Chocolate Cake
▪️ Red Velvet Cake
🎂 Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất.
✏️ Quý khách vui lòng chú thích thêm lời nhắn để viết lên đế bánh.",680000,main.jpg,1
8,Colorful Candy Cake,"Bánh Sinh Nhật Kẹo Sắc Màu
✅ Thành phần: Bột mì, dầu, đường, trứng, sữa, chocolate, bột ca cao. Được phủ một lớp kem cheese màu xanh mint và kẹo trang trí ở quanh đáy bánh.
✅ 3 Tầng Bánh Kem Tùy Chọn: Chocolate, Red Velvet, Chuối Hạt Óc Chó, Cà Rốt
✅ Đường kính: 16 cm
❗️ Vui lòng đặt trước 24h để được phục vụ tốt nhất
✏️ Quý khách vui lòng chú thích thêm lời nhắn chúc mừng để viết lên đế bánh kem",570000,main.jpg,1
9,Diet Whole Wheat Mix+,"Bánh Ăn Kiêng Nguyên Cám Mix+

Dòng bánh ăn kiêng mới nhất từ La Vita, bao gồm bột nguyên cám, bột mì lúa mạch đen, các loại hạt óc chó, hạnh nhân, nho khô,… cho một hương vị ngon miệng nhưng vẫn giúp hỗ trợ ăn kiêng, giảm cân hiệu quả.
Trọng lượng: 300 gram
Hình thức: Ổ dài chia thành 10-12 lát",89000,main.jpeg,2
10,Whole Wheat 12 Grain Bread,"Bánh 12 Hạt Nguyên Cám
Trọng lượng: 400 gram
Hình dáng: Ổ dài, chia thành 12 – 13 lát
Đặt trước: 1 ngày để được phục vụ tốt nhất",60000,main.jpeg,2
